player_id,first_name,last_name,birthdate,hand,country_code
103499,Aqeel,Khan,19800130,R,PAK
103529,Aisam Ul Haq,Qureshi,19800317,R,PAK
103565,Stephane,Robert,19800517,R,FRA
103990,Tommy,Robredo,19820501,R,ESP
104233,Frederik,Nielsen,19830827,R,DEN
104460,Dustin,Brown,19841208,R,GER
104467,Lamine,Ouahab,19841222,R,ALG
104563,Luca,Vanni,19850604,R,ITA
104620,Simone,Bolelli,19851008,R,ITA
104629,Adrian,Menendez Maceiras,19851028,R,ESP
104735,Tobias,Kamke,19860521,R,GER
104804,Amir,Weintraub,19860916,R,ISR
104810,Zhe,Li,19860920,R,CHN
104882,Blaz,Kavcic,19870305,R,SLO
104901,Vladimir,Ivanov,19870410,R,EST
104907,Jose Rubin,Statham,19870425,R,NZL
104970,Matteo,Viola,19870707,R,ITA
104978,Daniel,Brands,19870717,R,GER
105011,Illya,Marchenko,19870908,R,UKR
105015,Franco,Skugor,19870920,R,CRO
105030,Michael,Venus,19871016,R,NZL
105041,Lukas,Lacko,19871103,R,SVK
105063,Andrea,Arnaboldi,19871227,L,ITA
105065,Tim,Smyczek,19871230,R,USA
105074,Ruben,Bemelmans,19880114,L,BEL
105091,Peter,Torebko,19880210,R,GER
105147,Tatsuma,Ito,19880518,R,JPN
105156,Federico,Zeballos,19880530,U,BOL
105163,Gleb,Sakharov,19880610,R,FRA
105217,Thiemo,De Bakker,19880919,R,NED
105254,Nikola,Mektic,19881224,R,CRO
105292,Alejandro,Gonzalez,19890207,R,COL
105334,Luis David,Martinez,19890512,U,VEN
105406,Roberto,Marcora,19890830,R,ITA
105436,Markus,Eriksson,19891129,R,SWE
105441,John Patrick,Smith,19891204,L,AUS
105464,Christopher,Rungkat,19900114,R,INA
105467,Jordi,Munoz Abreu,19900117,U,VEN
105497,Jose,Hernandez,19900313,U,DOM
105561,Alessandro,Giannessi,19900530,L,ITA
105656,Marcelo,Arevalo,19901017,R,ESA
105668,Jerzy,Janowicz,19901113,R,POL
105731,Steven,Diez,19910317,R,CAN
105757,Sandro,Ehrat,19910418,R,SUI
105806,Mirza,Basic,19910712,R,BIH
105812,David,Agung Susanto,19910721,U,INA
105827,Laurynas,Grigelis,19910814,R,LTU
105841,Lorenzo,Giustino,19910910,R,ITA
105842,Di,Wu,19910914,R,CHN
105877,Emilio,Gomez,19911128,R,ECU
105905,Danilo,Petrovic,19920124,R,SRB
105906,Kevin,Krawietz,19920124,R,GER
105952,Renzo,Olivo,19920315,R,ARG
105954,Peter,Nagy,19920317,U,HUN
105963,Arthur,De Greef,19920327,R,BEL
105985,Darian,King,19920426,R,BAR
106021,Dragos,Dima,19920616,R,ROU
106031,Raymond,Sarmiento,19920724,R,USA
106032,Facundo,Arguello,19920804,R,ARG
106058,Jack,Sock,19920924,R,USA
106106,George,Tsivadze,19930102,U,GEO
106137,Tristan,Lamasine,19930305,R,FRA
106186,Jason,Kubler,19930519,R,AUS
106203,Pedro,Sakamoto,19930629,U,BRA
106214,Oscar,Otte,19930716,R,GER
106227,Ji Sung,Nam,19930815,R,KOR
106232,Roberto,Cid,19930830,R,DOM
106247,Nik,Razborsek,19931004,L,SLO
106283,Mitchell,Krueger,19940112,R,USA
106302,Andrew,Harris,19940307,R,AUS
106331,Christopher,Oconnell,19940603,U,AUS
106353,Pedja,Krstin,19940903,R,SRB
106393,Frederico,Ferreira Silva,19950318,L,POR
106397,Wishaya,Trongcharoenchaikul,19950408,R,THA
106408,Mario,Vilella Martinez,19950703,U,ESP
106412,Lucas,Gomez,19950811,U,MEX
108772,Julius,Tverijonas,19940614,R,LTU
109640,Andrea,Basso,19931008,L,ITA
110536,Kevin,King,19910228,U,USA
110686,Finn,Tearney,19900927,R,NZL
110778,Joao Lucas,Magalhaes Hueb De Menezes,19961217,R,BRA
111192,Lucas,Miedler,19960621,R,AUT
111200,Elias,Ymer,19960410,R,SWE
111453,Mikael,Torpegaard,19940508,R,DEN
111505,Enzo,Couacaud,19950301,R,FRA
111511,Noah,Rubin,19960221,R,USA
111515,Thai Son,Kwiatkowski,19950213,U,USA
111574,Jc,Aragone,19950628,R,USA
111577,Jared,Donaldson,19961009,R,USA
111578,Stefan,Kozlov,19980201,R,USA
117353,Duck Hee,Lee,19980529,R,KOR
121531,Mats,Moraing,19920620,L,GER
121896,Gabor,Borsos,19910630,U,HUN
122109,Sanjar,Fayziev,19940729,U,UZB
122298,Botic,Van De Zandschulp,19951004,U,NED
122533,Nam Hoang,Ly,19970225,R,VIE
122548,Edan,Leshem,19970319,U,ISR
122570,Mubarak Shannan,Zayid,19950414,U,QAT
123795,Altug,Celikbilek,19960907,U,TUR
123983,Nerman,Fatic,19941024,U,BIH
124014,Ernesto,Escobedo,19960704,R,USA
124116,Sebastian,Ofner,19960512,R,AUT
124154,Sasi Kumar,Mukund,19970114,R,IND
124186,Alexandre,Muller,19970201,U,FRA
125842,Adam,Moundir,19950426,U,SUI
126120,Nino,Serdarusic,19961213,U,CRO
126190,Nicolas,Alvarez,19960608,R,PER
126237,Gian Marco,Moroni,19980213,U,ITA
126328,Gabriel,Donev,19960629,U,BUL
126340,Viktor,Durasovic,19970319,U,NOR
126535,Carlos,Taberner,19970808,R,ESP
126555,Tung Lin,Wu,19980512,R,TPE
126609,Patrik,Niklas Salminen,19970305,U,FIN
126652,Jay,Clarke,19980727,R,GBR
126663,Juan Pablo,Ficovich,19970124,R,ARG
126845,Max,Purcell,19980403,U,AUS
126939,Khumoun,Sultanov,19981027,U,UZB
127143,Jirat,Navasirisomboon,19961117,R,THA
127157,Daniel,Altmaier,19980912,U,GER
127300,Djurabek,Karimov,19980604,U,UZB
127326,Ben,Fatael,19970602,U,ISR
127339,Borna,Gojo,19980227,U,CRO
131951,Daniel,Cukierman,19950709,U,ISR
133297,Yosuke,Watanuki,19980412,U,JPN
133979,Hasan,Ibrahim,19950817,U,GER
134677,Juan,Borba,19960412,R,PAR
134868,Tallon,Griekspoor,19960702,R,NED
134886,Sharmal,Dissanayake,19960514,R,SRI
144642,Marcelo Tomas,Barrios Vera,19971210,U,CHI
144650,Rhett,Purcell,19960206,R,GBR
144760,Amine,Ahouda,19970911,U,MAR
144775,Linh Giang,Trinh,19970803,U,VIE
144826,Aziz,Dougaz,19970326,U,TUN
144946,Rayane,Roumane,20000911,U,FRA
144984,Artem,Dubrivnyy,19990131,U,RUS
144985,Ergi,Kirkin,19990127,R,TUR
145016,Julian,Saborio,19961102,U,CRC
200031,Lucas,Catarina,19960826,R,MON
200059,Yibing,Wu,19991014,R,CHN
200095,Nicola,Kuhn,20000320,R,ESP
200181,Amer,Naow,19950101,R,SYR
200218,Mate,Valkusz,19980813,R,HUN
200247,Alexandar,Lazarov,19971106,R,BUL
200335,Felipe,Meligeni Rodrigues Alves,19980219,R,BRA
200343,David,Szintai,19970609,U,HUN
200368,Jack Mingjie,Lin,19990415,U,CAN
200384,Hugo,Gaston,20000926,U,FRA
200390,Kacper,Zuk,19990121,R,POL
200436,Zsombor,Piros,19991013,U,HUN
200460,John Bryan Decasa,Otico,19990625,U,PHI
200526,Juan,Lugo,19990921,U,VEN
200553,Alen,Avidzba,20000224,R,RUS
200574,Alexander,Donski,19980801,U,CAN
200611,Elliot,Benchetrit,19981002,U,FRA
201995,Cayetano,March,20000703,U,ECU
202090,Adrian,Andreev,20010512,U,BUL
202120,Rowland,Phillips,19940123,U,JAM
202246,Nikoloz,Davlianidze,20000101,U,GEO
202261,Otto,Virtanen,20010621,U,FIN
